Algorithm,Accuracy,Precision,Recall,F1-Score
Neural Network (MLP),0.9525,0.9488822008646406,0.9525,0.9503471929150009
XGBoost (Tuned),0.9475,0.9008957219251337,0.9475,0.9228116147308782
CatBoost,0.9475,0.9442825443786983,0.9475,0.9457158438576349
Gradient Boosting,0.945,0.945,0.945,0.945
SVM,0.9425,0.9336764705882353,0.9425,0.9254337441986619
Random Forest,0.9375,0.9307839912280701,0.9375,0.933740676878659
Decision Tree,0.9375,0.9387954545454545,0.9375,0.9381323333099135
LightGBM,0.9325,0.9338939393939394,0.9325,0.9331829199747067
Naive Bayes,0.855,0.830931288601909,0.855,0.8349048276920715
Logistic Regression,0.8375,0.8253213820493233,0.8375,0.8298206869670797
KNN,0.7475,0.7275043755912961,0.7475,0.7311320044632401
AdaBoost,0.71,0.8107185828877005,0.71,0.6631336314081979
